param_name,run_name,data_name,mv_acc,womv_acc,hyper_param
"base_param,data_option-mvtec_carpet_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_carpet_data,"{'mean': 0.8045, 'std': 0.0727, 'num': 5, 'values': [0.8409, 0.8409, 0.6591, 0.8409, 0.8409]}","{'mean': 0.7318, 'std': 0.0649, 'num': 5, 'values': [0.7273, 0.8409, 0.6364, 0.7273, 0.7273]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_grid_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_grid_data,"{'mean': 0.502, 'std': 0.1084, 'num': 5, 'values': [0.4898, 0.5102, 0.5918, 0.3061, 0.6122]}","{'mean': 0.449, 'std': 0.1347, 'num': 5, 'values': [0.4694, 0.449, 0.5102, 0.2041, 0.6122]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_leather_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_leather,"{'mean': 0.8318, 'std': 0.053, 'num': 5, 'values': [0.8864, 0.8864, 0.8409, 0.7955, 0.75]}","{'mean': 0.7273, 'std': 0.0498, 'num': 5, 'values': [0.8182, 0.7273, 0.7273, 0.6818, 0.6818]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_tile_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_tile_data,"{'mean': 0.9667, 'std': 0.0117, 'num': 5, 'values': [0.9524, 0.9524, 0.9762, 0.9762, 0.9762]}","{'mean': 0.9048, 'std': 0.0398, 'num': 5, 'values': [0.8571, 0.9048, 0.9762, 0.9048, 0.881]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_wood_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_wood_data,"{'mean': 0.7086, 'std': 0.1013, 'num': 5, 'values': [0.5571, 0.7286, 0.7143, 0.6714, 0.8714]}","{'mean': 0.6657, 'std': 0.1134, 'num': 5, 'values': [0.5, 0.6571, 0.6571, 0.6571, 0.8571]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_bottle_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_bottle_data,"{'mean': 0.575, 'std': 0.0468, 'num': 5, 'values': [0.5312, 0.5312, 0.5625, 0.5938, 0.6562]}","{'mean': 0.5375, 'std': 0.0365, 'num': 5, 'values': [0.5, 0.5, 0.5625, 0.5312, 0.5938]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_cable_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_cable_data,"{'mean': 0.7825, 'std': 0.0361, 'num': 5, 'values': [0.8246, 0.7719, 0.807, 0.7895, 0.7193]}","{'mean': 0.6456, 'std': 0.0435, 'num': 5, 'values': [0.6491, 0.7018, 0.5965, 0.6842, 0.5965]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_capsule_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_capsule_data,"{'mean': 0.5661, 'std': 0.0782, 'num': 5, 'values': [0.4906, 0.5472, 0.6981, 0.6038, 0.4906]}","{'mean': 0.5208, 'std': 0.0874, 'num': 5, 'values': [0.4528, 0.4906, 0.6415, 0.6038, 0.4151]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_hazelnut_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_hazelnut_data,"{'mean': 0.7714, 'std': 0.134, 'num': 5, 'values': [0.8857, 0.8571, 0.5143, 0.7714, 0.8286]}","{'mean': 0.6857, 'std': 0.0788, 'num': 5, 'values': [0.7429, 0.7714, 0.5429, 0.6857, 0.6857]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_metal_nut_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_metal_nut_data,"{'mean': 0.732, 'std': 0.1114, 'num': 5, 'values': [0.92, 0.6, 0.64, 0.76, 0.74]}","{'mean': 0.648, 'std': 0.0835, 'num': 5, 'values': [0.78, 0.54, 0.6, 0.7, 0.62]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_pill_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_pill,"{'mean': 0.7161, 'std': 0.0518, 'num': 5, 'values': [0.6914, 0.7778, 0.7778, 0.6543, 0.679]}","{'mean': 0.5975, 'std': 0.0665, 'num': 5, 'values': [0.5185, 0.7037, 0.642, 0.5556, 0.5679]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_screw_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_screw_data,"{'mean': 0.6633, 'std': 0.0531, 'num': 5, 'values': [0.7333, 0.7167, 0.65, 0.6167, 0.6]}","{'mean': 0.6267, 'std': 0.0309, 'num': 5, 'values': [0.6833, 0.6333, 0.6, 0.6167, 0.6]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_transistor_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_transistor_data,"{'mean': 0.8857, 'std': 0.0713, 'num': 5, 'values': [0.7619, 0.9524, 0.9524, 0.9048, 0.8571]}","{'mean': 0.7429, 'std': 0.0646, 'num': 5, 'values': [0.6667, 0.7143, 0.7143, 0.8571, 0.7619]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_zipper_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-1,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks1-acti1",MVRec-mso-EchoClassfierF-ks1-acti1,mvtec_zipper_data,"{'mean': 0.8049, 'std': 0.0443, 'num': 5, 'values': [0.8415, 0.7805, 0.7317, 0.8537, 0.8171]}","{'mean': 0.6317, 'std': 0.0459, 'num': 5, 'values': [0.6463, 0.561, 0.5976, 0.6707, 0.6829]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 1, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_carpet_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-3,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks3-acti1",MVRec-mso-EchoClassfierF-ks3-acti1,mvtec_carpet_data,"{'mean': 0.8455, 'std': 0.0265, 'num': 5, 'values': [0.8636, 0.8182, 0.8409, 0.8182, 0.8864]}","{'mean': 0.85, 'std': 0.053, 'num': 5, 'values': [0.9091, 0.9091, 0.8182, 0.7727, 0.8409]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_grid_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-3,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks3-acti1",MVRec-mso-EchoClassfierF-ks3-acti1,mvtec_grid_data,"{'mean': 0.7306, 'std': 0.0757, 'num': 5, 'values': [0.6327, 0.6735, 0.8367, 0.7143, 0.7959]}","{'mean': 0.6082, 'std': 0.0789, 'num': 5, 'values': [0.5102, 0.6122, 0.6735, 0.5306, 0.7143]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_leather_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-3,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks3-acti1",MVRec-mso-EchoClassfierF-ks3-acti1,mvtec_leather,"{'mean': 0.9091, 'std': 0.0249, 'num': 5, 'values': [0.9091, 0.9318, 0.9318, 0.9091, 0.8636]}","{'mean': 0.8409, 'std': 0.0431, 'num': 5, 'values': [0.8409, 0.8409, 0.9091, 0.8409, 0.7727]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_tile_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-3,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks3-acti1",MVRec-mso-EchoClassfierF-ks3-acti1,mvtec_tile_data,"{'mean': 0.9762, 'std': 0.0, 'num': 5, 'values': [0.9762, 0.9762, 0.9762, 0.9762, 0.9762]}","{'mean': 0.9381, 'std': 0.0243, 'num': 5, 'values': [0.9048, 0.9286, 0.9762, 0.9286, 0.9524]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_wood_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-3,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks3-acti1",MVRec-mso-EchoClassfierF-ks3-acti1,mvtec_wood_data,"{'mean': 0.8943, 'std': 0.0368, 'num': 5, 'values': [0.8286, 0.9286, 0.9, 0.8857, 0.9286]}","{'mean': 0.8486, 'std': 0.0345, 'num': 5, 'values': [0.8429, 0.8143, 0.8429, 0.8286, 0.9143]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
"base_param,data_option-mvtec_bottle_data,ClipModel.classifier-EchoClassfierF,ClipModel.backbone_name-ViT-L/14,ClipModel.clip_name-AlphaClip,debug.k_shot-3,data.input_shape-224,data.mv_method-mso,debug.acti_beta-1,exp_name-best_exp_train,run_name-MVRec-mso-EchoClassfierF-ks3-acti1",MVRec-mso-EchoClassfierF-ks3-acti1,mvtec_bottle_data,"{'mean': 0.7625, 'std': 0.0508, 'num': 5, 'values': [0.7188, 0.7812, 0.8125, 0.8125, 0.6875]}","{'mean': 0.7063, 'std': 0.0424, 'num': 5, 'values': [0.7188, 0.75, 0.7188, 0.7188, 0.625]}","{'k_patch': 2, 'sdpa_scale': 300, 'ft_epo': 500, 'train_sk': False, 'acti_beta': 1, 'fvns': 1, 'fvnq': 1, 'trip_loss_weight': 4, 'trip_loss_margin': 0.5, 'mulit_view': 1, 'k_shot': 3, 'num_sampling': 5, 'infer_style': 'assemble_uncertainty', 'zip_config_index': 6, 'text_logits_wight': 0, 'uncertainty_alpha': 2}"
